"Position","thumbnail","departure","arrival","date","maxpax","price"
63,"https://api.catch-a-jet.com/storage/1785236/638101548496762662_26.jpg","Memmingen","Aix-les-bains","26 Dec","8 Seats","Book the entire jet for €4.000"
64,"https://api.catch-a-jet.com/storage/1771928/637774956493361548_26.png","Memmingen","London","27 Dec","8 Seats","Book the entire jet for €4.050"
65,"https://api.catch-a-jet.com/storage/1785988/636520428219878131_26.jpg","Vienna (wien)","Klagenfurt","27 Dec","8 Seats","Book the entire jet for €4.050"
66,"https://api.catch-a-jet.com/storage/1757321/637774956175803688_26.png","Kosice","Mengen","15 Jan","8 Seats","Book the entire jet for €4.100"
67,"https://api.catch-a-jet.com/storage/1761930/638101548496762662_26.jpg","Memmingen","Vienna (wien)","29 Jan","8 Seats","Book the entire jet for €4.200"
68,"https://api.catch-a-jet.com/storage/1787220/638101549556142260_26.jpg","Memmingen","Vienna (wien)","29 Dec","8 Seats","Book the entire jet for €4.200"
69,"https://api.catch-a-jet.com/storage/1761941/638101549556142260_26.jpg","Vienna (wien)","Memmingen","23 Jan","8 Seats","Book the entire jet for €4.300"
70,"https://api.catch-a-jet.com/storage/1786104/638495532654322694_26.jpg","Leeds bradford","Mengen","13 Feb","8 Seats","Book the entire jet for €4.300"
71,"https://api.catch-a-jet.com/storage/1786019/637774956493361548_26.png","Zurich","Palma (mallorca is)","5 Jan","8 Seats","Book the entire jet for €4.350"
72,"https://api.catch-a-jet.com/storage/1754638/638495534131409309_26.png","Leeds bradford","Mengen","3 Jan","9 Seats","Book the entire jet for €4.400"
73,"https://api.catch-a-jet.com/storage/1769132/638495534131409309_26.png","Mengen","Manchester","3 Jul","9 Seats","Book the entire jet for €4.400"
74,"https://api.catch-a-jet.com/storage/1769139/638495534131409309_26.png","Manchester","Mengen","11 Jul","9 Seats","Book the entire jet for €4.400"
75,"https://api.catch-a-jet.com/storage/1783775/638495534131409309_26.png","Mengen","Leeds bradford","13 Feb","9 Seats","Book the entire jet for €4.400"
76,"https://api.catch-a-jet.com/storage/1764377/638332237083105682.jpg","Kortrijk","Antwerp","16 Jan","8 Seats","Book the entire jet for €4.500"
77,"https://api.catch-a-jet.com/storage/1787007/638693389513866373_26.jpg","Amsterdam","Innsbruck","29 Dec","8 Seats","Book the entire jet for €4.500"
78,"https://api.catch-a-jet.com/storage/1784701/638289036898140848.jpg","Amsterdam","Manchester","2 Jan","7 Seats","Book the entire jet for €4.550"
79,"https://api.catch-a-jet.com/storage/1786086/638495532654322694_26.jpg","Mengen","Leeds bradford","7 Feb","8 Seats","Book the entire jet for €4.550"
80,"https://api.catch-a-jet.com/storage/1786504/638693389513866373_26.jpg","Amsterdam","Edinburgh","27 Dec","8 Seats","Book the entire jet for €4.800"
81,"https://api.catch-a-jet.com/storage/1786388/637774956175803688_26.png","Vienna (wien)","Catania","5 Jan","8 Seats","Book the entire jet for €4.900"
82,"https://api.catch-a-jet.com/storage/1768627/638495532654322694_26.jpg","Turin (torino)","Aarhus","27 Dec","8 Seats","Book the entire jet for €5.250"
83,"https://api.catch-a-jet.com/storage/1787171/638495534131409309_26.png","Madrid","Luxembourg","9 Jan","9 Seats","Book the entire jet for €5.250"
84,"https://api.catch-a-jet.com/storage/1785094/638693389513866373_26.jpg","Amsterdam","Innsbruck","5 Jan","8 Seats","Book the entire jet for €5.300"
85,"https://api.catch-a-jet.com/storage/1784693/638289036898140848.jpg","Grenoble","Amsterdam","8 Jan","7 Seats","Book the entire jet for €5.550"
86,"https://api.catch-a-jet.com/storage/1778576/638028973624835497_26.png","Vilnius","Mengen","2 Jan","8 Seats","Book the entire jet for €5.550"
87,"https://api.catch-a-jet.com/storage/1786551/638289036898140848.jpg","Amsterdam","Dublin","6 Jan","7 Seats","Book the entire jet for €5.700"
88,"https://api.catch-a-jet.com/storage/1768910/638047117411391918_26.jpg","Paris","Gray","6 Jan","8 Seats","Book the entire jet for €5.700"
89,"https://api.catch-a-jet.com/storage/1768923/133688976521349107_26.jpg","Antwerp","Paris","21 Jan","6 Seats","Book the entire jet for €6.000"
90,"https://api.catch-a-jet.com/storage/1768928/133688976521349107_26.jpg","Paris","Kortrijk","25 Jan","6 Seats","Book the entire jet for €6.000"
91,"https://api.catch-a-jet.com/storage/1783177/635254669065719775_26.jpg","Antwerp","Amsterdam","6 Mar","10 Seats","Book the entire jet for €6.000"
92,"https://api.catch-a-jet.com/storage/1785698/636520428219878131_26.jpg","Klagenfurt","Rome","27 Dec","8 Seats","Book the entire jet for €6.100"
93,"https://api.catch-a-jet.com/storage/1785711/636520428219878131_26.jpg","Klagenfurt","Frankfurt","28 Dec","8 Seats","Book the entire jet for €6.300"
94,"https://api.catch-a-jet.com/storage/1786980/638693389513866373_26.jpg","Amsterdam","Kerry","2 Jan","8 Seats","Book the entire jet for €6.500"
95,"https://api.catch-a-jet.com/storage/1786219/638495534131409309_26.png","Malaga","Mengen","29 Dec","9 Seats","Book the entire jet for €6.550"
96,"https://api.catch-a-jet.com/storage/1768939/133688976521349107_26.jpg","Antwerp","Aix-les-bains","14 Feb","6 Seats","Book the entire jet for €6.800"
97,"https://api.catch-a-jet.com/storage/1786212/638495534131409309_26.png","Florence (firenze)","Haugesund","28 Dec","9 Seats","Book the entire jet for €6.850"
98,"https://api.catch-a-jet.com/storage/1768891/637889868258782677_26.jpg","Brussels","Sion","4 Jan","6 Seats","Book the entire jet for €7.000"
99,"https://api.catch-a-jet.com/storage/1769050/133688976521349107_26.jpg","Innsbruck","Antwerp","9 Mar","6 Seats","Book the entire jet for €7.000"
