"Position","thumbnail","route","date","price","aircraft","maxpax","flightTime","WiFi","Pets","Beds"
63,"https://lms-api.luxaviation.com/aircraft_images/179_dc6d38b6-d457-4a9f-99b8-9f1476f4e0c0.jpg","Wevelgem Airport (EBKT)  Chambéry-Savoie Airport (LFLB)","2025-03-09","Starting From EUR 4,125.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
64,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Zürich Airport (LSZH)  Wevelgem Airport (EBKT)","2025-03-10","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:00","Wifi: No","Pets: No","Beds: No"
65,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Cannes-Mandelieu Airport (LFMD)  Wevelgem Airport (EBKT)","2025-03-10","Starting From EUR 5,225.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:25","Wifi: No","Pets: No","Beds: No"
66,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Wevelgem Airport (EBKT)  Zürich Airport (LSZH)","2025-03-14","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:00","Wifi: No","Pets: No","Beds: No"
67,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Cannes-Mandelieu Airport (LFMD)  Wevelgem Airport (EBKT)","2025-04-11","Starting From EUR 5,225.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:25","Wifi: No","Pets: No","Beds: No"
68,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Zürich Airport (LSZH)  Wevelgem Airport (EBKT)","2025-04-28","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:00","Wifi: No","Pets: No","Beds: No"
69,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Wevelgem Airport (EBKT)  Zürich Airport (LSZH)","2025-05-02","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:00","Wifi: No","Pets: No","Beds: No"
70,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Zürich Airport (LSZH)  Wevelgem Airport (EBKT)","2025-05-13","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
71,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Wevelgem Airport (EBKT)  Zürich Airport (LSZH)","2025-05-16","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:00","Wifi: No","Pets: No","Beds: No"
72,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Cannes-Mandelieu Airport (LFMD)  Wevelgem Airport (EBKT)","2025-05-16","Starting From EUR 5,225.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:25","Wifi: No","Pets: No","Beds: No"
73,"https://lms-api.luxaviation.com/aircraft_images/152_f7e0431b-9030-4607-84db-2ec57be47dfd.jpg","Ibiza Airport (LEIB)  Nancy-Essey Airport (LFSN)","2025-05-26","Starting From EUR 6,325.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:45","Wifi: No","Pets: No","Beds: No"
74,"https://lms-api.luxaviation.com/aircraft_images/152_f7e0431b-9030-4607-84db-2ec57be47dfd.jpg","Nancy-Essey Airport (LFSN)  Ibiza Airport (LEIB)","2025-05-31","Starting From EUR 6,600.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:50","Wifi: No","Pets: No","Beds: No"
75,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Cannes-Mandelieu Airport (LFMD)  Wevelgem Airport (EBKT)","2025-06-13","Starting From EUR 5,225.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:25","Wifi: No","Pets: No","Beds: No"
76,"https://lms-api.luxaviation.com/aircraft_images/179_dc6d38b6-d457-4a9f-99b8-9f1476f4e0c0.jpg","Wevelgem Airport (EBKT)  Katowice International Airport (EPKT)","2025-06-22","Starting From EUR 6,050.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:40","Wifi: No","Pets: No","Beds: No"
77,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Zürich Airport (LSZH)  Wevelgem Airport (EBKT)","2025-06-23","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:00","Wifi: No","Pets: No","Beds: No"
78,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Wevelgem Airport (EBKT)  Zürich Airport (LSZH)","2025-06-27","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:00","Wifi: No","Pets: No","Beds: No"
